Date and Time,Temperature,Humidity,Wind Speed,Weather Condition
2025-05-05 15:00:06,-0.13477428156750806,-0.12174547654620758,-0.21495951015482812,overcast clouds
2025-05-11 11:25:26,1.9686846874788821,-1.751261854933913,-3.8373177420881643,clear sky
2025-05-11 15:22:53,3.304665384035374,-3.109192170257001,1.4698582721397475,clear sky
2025-05-11 15:23:51,3.304665384035374,-3.109192170257001,1.4698582721397475,clear sky
2025-05-11 19:46:09,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:09,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:10,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:10,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:11,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:11,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:12,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:14,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:16,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:25,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:35,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:46,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:46:56,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:47:05,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:47:15,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:47:25,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:47:36,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:48:13,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:48:14,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:48:18,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-11 19:48:28,-0.28163740778471213,0.14984058651841,0.3185661209051218,scattered clouds
2025-05-12 01:34:29,-0.6322139026257783,1.2361848387768803,-1.39433195776103,scattered clouds
2025-05-12 01:34:31,-0.6322139026257783,1.2361848387768803,-1.39433195776103,scattered clouds
2025-05-12 01:34:34,-0.6322139026257783,1.2361848387768803,-1.39433195776103,scattered clouds
2025-05-12 01:34:43,-0.6322139026257783,1.2361848387768803,-1.39433195776103,scattered clouds
